Bug ID,Bug Report,Uploaded File,Submission Date
1,Application crashes after clicking Login button,sample.pdf,2026-07-03 18:302,Application Crashes after Clicking Login button,Sneha.pdf,04-07-2026 08:24 PM
2,Application failed after clicking the login page,vyshnavipolavarapuu.pdf,05-07-2026 12:16 PM
3,Application Crashes when user logins error,vyshnavipolavarapuu.pdf,05-07-2026 05:52 PM
4,Application Crashes after opening the login page,vyshnavidocument.pdf,06-07-2026 11:32 AM
5,Application crashes while i open login ,vyshnavipolavarapuu.pdf,06-07-2026 08:31 PM
6,nullpointer exception,,06-07-2026 08:44 PM
7,"
application crashes",WhatsApp Image 2026-07-06 at 7.53.06 PM.jpeg,06-07-2026 09:47 PM
9,"
",Ai smart debug doc1.pdf,06-07-2026 10:01 PM
11,"
",Ai smart debug doc1.pdf,06-07-2026 10:03 PM
13,"Application crashes while login 

",vyshnavidocument.pdf,07-07-2026 02:23 PM
16,"
","ChatGPT Image Jul 3, 2026, 07_19_28 PM.png",07-07-2026 03:26 PM
18,"
",adhar front.pdf,09-07-2026 08:07 PM
20,"
",miniprojecttemplate.pdf,09-07-2026 09:37 PM
22,"
","ChatGPT Image Jul 9, 2026, 10_25_25 PM.png",10-07-2026 06:11 PM
24,"
Aplication crashes when user try to login",,10-07-2026 07:15 PM
26,"
login page crashes after creating the wrong password three times.",,13-07-2026 05:08 PM
28,"
file upload failed ",,13-07-2026 05:09 PM
30,"Login page crashes after entering the wrong password three times.

NullPointerException at LoginService.java line 45",,13-07-2026 06:20 PM
33,"
",,17-07-2026 06:23 PM
35,"
",,17-07-2026 06:23 PM
37,"
",,17-07-2026 06:24 PM
39,email,,17-07-2026 06:35 PM
40,email,,17-07-2026 07:16 PM
41,email,,17-07-2026 07:16 PM
42,"Application crashes while uploading a PDF.

Traceback (most recent call last):
File ""app.py"", line 45
ValueError: Invalid file format",,17-07-2026 07:16 PM
47,"Application crashes after clicking Login.

Traceback (most recent call last):
File ""login.py"", line 55
ValueError",,17-07-2026 07:32 PM
52,,THRIVENI.pdf,17-07-2026 07:51 PM
53,,THRIVENI.pdf,17-07-2026 08:09 PM
54,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'
Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:12 PM
59,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'
Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:25 PM
64,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'

Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:26 PM
70,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'

Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:33 PM
76,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'

Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:34 PM
82,"Login page throws AttributeError: 'NoneType' object has no attribute 'username'

Stack Trace:
Traceback (most recent call last):
File ""login.py"", line 52
AttributeError: 'NoneType' object has no attribute 'username'",,17-07-2026 08:35 PM
88,,aws_certificate.jpg.jpeg,18-07-2026 10:31 AM
89,,aws_certificate.jpg.jpeg,18-07-2026 10:36 AM
90,"Database connection failed.
SQL query timeout.",,18-07-2026 10:36 AM
92,"Database connection failed.
SQL query timeout.",,18-07-2026 10:37 AM
94,"Login failed.
Invalid password.",,18-07-2026 10:37 AM
96,,Aws_certification.pdf,18-07-2026 11:39 AM
97,,THRIVENI.pdf,20-07-2026 06:33 PM
98,The application crashes immediately after entering valid username and password. The login page closes unexpectedly and displays a NullPointerException in the server logs. This issue occurs every time after the latest update.,THRIVENI.pdf,22-07-2026 05:48 PM
99,The application crashes when the user enters an incorrect password.,logfile.txt,22-07-2026 06:02 PM
100,The application crashes when the user enters an incorrect password.,logfile.txt,22-07-2026 06:04 PM
101,Application crashes on login,logfile.txt,22-07-2026 06:15 PM
102,The application crashes when the user enters an incorrect password.,logfile.txt,22-07-2026 06:36 PM
103,application crashes when user try to login,logfile.txt,22-07-2026 06:49 PM
104,Application Crashes while login,logfile.txt,22-07-2026 07:45 PM
105,Application Crashes while login,logfile.txt,22-07-2026 07:46 PM
106,Application Crashes while login,logfile.txt,22-07-2026 07:50 PM
107,Application crashes on login,logfile.txt,22-07-2026 07:51 PM
108,Application crashes on login,logfile.txt,22-07-2026 08:35 PM
109,Application crashes on login,logfile.txt,22-07-2026 08:36 PM
110,Application crashes on login,logfile.txt,22-07-2026 08:37 PM
111,Application crashes on login,logfile.txt,22-07-2026 08:48 PM
112,Application crashes on login,logfile.txt,22-07-2026 08:48 PM
113,Application crashes on login,logfile.txt,22-07-2026 08:48 PM
114,Application crashes on login,logfile.txt,22-07-2026 08:59 PM
115,Application crashes on login,logfile.txt,22-07-2026 08:59 PM
116,Application crashes on login,logfile.txt,22-07-2026 09:03 PM
117,Application crashes on login,logfile.txt,22-07-2026 09:06 PM
118,Application crashes on login,,23-07-2026 02:17 PM
119,Application crashes on login,logfile.txt,23-07-2026 02:18 PM
120,Application crashes on login,logfile.txt,23-07-2026 02:20 PM
121,Application crashes on login,logfile.txt,23-07-2026 02:21 PM
122,Application crashes on login,logfile.txt,23-07-2026 02:22 PM
123,Application crashes on login,logfile.txt,23-07-2026 02:24 PM
124,Application crashes on login,logfile.txt,23-07-2026 02:25 PM
125,Application crashes on login,logfile.txt,23-07-2026 02:26 PM
126,Application crashes on login,logfile.txt,23-07-2026 02:27 PM
127,Application crashes on login,logfile.txt,23-07-2026 02:28 PM
128,Application crashes on login,logfile.txt,23-07-2026 02:29 PM
129,Application crashes on login page,logfile.txt,23-07-2026 08:03 PM
130,Application crashes on login page,logfile.txt,23-07-2026 08:04 PM
131,Application crashes on login page,logfile.txt,23-07-2026 08:05 PM
132,Application crashes on login page,logfile.txt,23-07-2026 08:06 PM
133,Application crashes on login page,logfile.txt,23-07-2026 08:08 PM
134,Application crashes on login page,logfile.txt,23-07-2026 08:10 PM
135,Application crashes on login,logfile.txt,23-07-2026 08:20 PM
